model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
free_space,10,-76.00,49.53,-150.00,-29.65,70.0,0.0,0.0,0.0,30.0
hybrid,10,-69.76,52.66,-150.00,-30.81,70.0,0.0,0.0,0.0,30.0
3gpp_umi,10,-82.90,46.93,-150.00,-30.81,50.0,20.0,0.0,0.0,30.0
ray_tracing,10,-68.53,53.54,-150.00,-27.83,70.0,0.0,0.0,0.0,30.0
3gpp_uma,10,-80.68,48.31,-150.00,-27.63,60.0,10.0,0.0,0.0,30.0
