model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
free_space,10,-61.05,45.49,-150.00,-23.61,80.0,0.0,0.0,0.0,20.0
hybrid,10,-56.77,46.82,-150.00,-24.47,80.0,0.0,0.0,0.0,20.0
3gpp_umi,10,-65.97,44.62,-150.00,-24.47,70.0,10.0,0.0,0.0,20.0
ray_tracing,10,-54.64,47.86,-150.00,-23.17,80.0,0.0,0.0,0.0,20.0
3gpp_uma,10,-63.31,45.83,-150.00,-20.99,80.0,0.0,0.0,0.0,20.0
