model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
free_space,10,-32.85,39.55,-150.00,-15.93,90.0,0.0,0.0,0.0,10.0
hybrid,10,-32.74,39.15,-150.00,-17.41,90.0,0.0,0.0,0.0,10.0
3gpp_umi,10,-35.68,39.52,-150.00,-17.41,90.0,0.0,0.0,0.0,10.0
ray_tracing,10,-30.37,39.97,-150.00,-13.95,90.0,0.0,0.0,0.0,10.0
3gpp_uma,10,-33.11,40.31,-150.00,-14.54,90.0,0.0,0.0,0.0,10.0
