model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
free_space,10,-53.44,35.18,-150.00,-32.95,80.0,10.0,0.0,0.0,10.0
hybrid,10,-48.99,33.89,-150.00,-34.28,90.0,0.0,0.0,0.0,10.0
3gpp_umi,10,-57.64,36.58,-150.00,-34.28,70.0,10.0,10.0,0.0,10.0
ray_tracing,10,-47.31,34.48,-150.00,-32.95,90.0,0.0,0.0,0.0,10.0
3gpp_uma,10,-54.95,37.29,-150.00,-31.26,80.0,0.0,10.0,0.0,10.0
