model,count,mean_dbm,std_dbm,min_dbm,max_dbm,excellent_pct,good_pct,fair_pct,poor_pct,no_service_pct
free_space,10,-32.98,4.45,-39.43,-25.21,100.0,0.0,0.0,0.0,0.0
hybrid,10,-34.31,4.67,-41.09,-26.15,100.0,0.0,0.0,0.0,0.0
3gpp_umi,10,-34.31,4.67,-41.09,-26.15,100.0,0.0,0.0,0.0,0.0
ray_tracing,10,-32.98,4.45,-39.43,-25.21,100.0,0.0,0.0,0.0,0.0
3gpp_uma,10,-31.29,4.89,-38.39,-22.75,100.0,0.0,0.0,0.0,0.0
